3,37,A3TV,13.2,10.0,18.42,0.44
4,21,A3TV,15.2,15.1,3.09,9.52
6,3,A3TV,11.7,8.3,14.54,10.96
6,34,A3TV,1.6,0.8,0.63,3.30
7,14,A3TV,21.5,21.8,14.83,13.90
7,51,Cuatro,1.0,6.2,26.27,11.63
7,45,La2,15.6,2.9,12.71,4.84
8,1,A3TV,12.6,26.1,3.00,12.13
10,21,A3TV,3.2,7.9,0.87,11.58
10,54,A3TV,12.0,8.4,6.28,8.42
16,15,A3TV,16.3,6.5,17.06,10.10
18,21,A3TV,11.3,15.3,11.63,13.86
19,45,A3TV,10.4,12.6,15.60,10.05
20,59,A3TV,20.9,22.6,10.99,3.78
21,10,A3TV,24.1,11.3,11.61,2.87
21,14,A3TV,20.8,24.0,38.45,0.97
22,30,A3TV,2.9,14.2,7.71,12.95
23,2,A3TV,6.8,16.9,20.35,2.08
23,8,A3TV,21.8,25.2,22.43,4.81
23,38,A3TV,35.0,5.4,17.06,19.41
0,40,Cuatro,22.8,5.7,17.14,7.44
1,9,Cuatro,39.5,12.0,22.45,5.48
2,45,Cuatro,19.9,12.2,8.94,0.15
4,17,Cuatro,26.1,17.6,14.22,12.67
4,21,Cuatro,15.9,25.6,10.21,9.94
4,31,Cuatro,7.1,17.9,22.98,7.11
5,3,Cuatro,22.0,21.2,6.61,6.24
5,13,Cuatro,21.8,17.9,10.87,1.76
5,51,Cuatro,24.2,31.6,18.83,9.71
8,12,Cuatro,6.5,18.6,24.34,4.59
8,24,Cuatro,2.3,13.0,30.89,12.56
8,26,Cuatro,2.2,8.5,2.21,4.44
9,34,Cuatro,14.6,23.6,7.95,13.58
10,43,Cuatro,6.3,5.8,8.81,2.40
11,13,Cuatro,21.7,11.2,10.71,0.89
12,33,Cuatro,22.0,34.6,0.75,4.03
13,53,Cuatro,11.0,5.0,13.35,0.73
16,35,Cuatro,7.6,21.8,3.64,6.31
19,2,Cuatro,14.7,7.8,25.55,7.66
19,11,Cuatro,19.7,15.0,10.38,5.01
20,27,Cuatro,9.6,21.3,18.75,13.70
22,3,Cuatro,13.2,1.4,16.16,6.00
22,54,Cuatro,21.0,2.7,12.36,0.94
23,1,Cuatro,9.8,23.5,12.42,0.82
4,46,La2,25.8,8.0,21.72,2.45
8,8,La2,22.5,11.7,32.37,2.90
8,45,La2,14.7,30.4,5.43,0.99
9,4,La2,25.3,0.7,20.44,3.91
11,24,La2,10.1,3.9,2.80,9.77
12,47,La2,24.8,19.4,14.04,0.53
14,48,La2,22.4,16.1,7.69,2.88
14,54,La2,2.6,3.8,0.46,4.00
15,9,La2,28.9,10.6,31.14,7.25
16,31,La2,16.5,17.6,14.33,19.04
16,39,La2,6.0,27.4,4.08,2.67
16,46,La2,9.4,29.0,25.87,2.95
18,14,La2,22.9,33.2,12.77,2.28
23,10,La2,27.8,2.4,3.31,12.06
0,23,LaSexta,15.8,2.7,31.19,1.03
0,53,LaSexta,27.2,12.8,34.04,10.32
1,42,LaSexta,23.8,8.9,26.12,4.21
1,44,LaSexta,19.8,11.5,8.56,12.76
2,5,LaSexta,28.3,24.9,23.47,5.24
3,28,LaSexta,36.3,4.2,24.83,1.91
4,44,LaSexta,7.9,17.5,2.35,3.12
4,55,LaSexta,3.4,0.2,3.83,0.59
6,37,LaSexta,7.1,17.1,4.65,0.59
7,16,LaSexta,12.6,16.1,24.19,6.75
9,50,LaSexta,31.5,28.5,13.03,0.05
10,44,LaSexta,12.7,13.9,17.05,6.20
10,54,LaSexta,17.1,11.2,36.28,6.62
10,56,LaSexta,6.5,7.7,6.80,0.21
12,35,LaSexta,17.4,10.4,13.61,2.00
13,38,LaSexta,7.4,7.2,17.02,10.08
14,19,LaSexta,16.1,9.4,10.51,4.13
14,42,LaSexta,30.8,11.4,23.80,1.25
18,38,LaSexta,27.2,27.5,5.27,0.13
19,18,LaSexta,4.7,12.0,13.23,15.00
21,13,LaSexta,11.9,3.0,5.35,0.24
23,47,LaSexta,12.3,12.9,20.59,2.03
1,54,TVE1,13.0,13.5,0.29,8.00
2,59,TVE1,7.3,17.3,3.33,0.98
3,35,TVE1,0.3,11.7,11.46,9.61
7,46,TVE1,35.0,17.1,4.54,4.10
8,4,TVE1,12.9,37.3,30.78,11.98
9,37,TVE1,5.1,25.6,14.32,1.32
9,43,TVE1,16.6,19.2,25.01,4.90
10,40,TVE1,18.3,10.1,11.40,7.76
11,26,TVE1,15.1,17.2,1.49,3.63
12,0,TVE1,34.4,12.1,23.47,2.63
13,33,TVE1,20.7,4.4,12.80,8.01
15,38,TVE1,23.9,8.4,20.62,6.49
19,42,TVE1,2.0,10.9,4.05,3.30
17,49,TVE1,22.5,10.1,22.17,10.86
23,5,TVE1,9.1,3.2,9.59,2.62
23,13,TVE1,21.7,6.1,16.11,2.15
1,29,Tele5,23.7,23.0,11.67,4.13
5,30,Tele5,4.5,14.1,20.28,9.34
15,25,Tele5,28.4,6.1,6.57,3.46
16,25,Tele5,10.6,7.2,13.87,5.90
